Co-Occurring Word,Percent Co-Occurrence,word
never,8.571428571428571,iraq
germany,8.571428571428571,iraq
thing,8.571428571428571,iraq
biden,57.58293838862559,joe
sleepy,41.23222748815166,joe
people,13.033175355450238,joe
year,11.848341232227488,joe
president,11.848341232227488,joe
country,11.61137440758294,joe
want,10.66350710900474,joe
democrat,10.66350710900474,joe
would,10.42654028436019,joe
vote,9.95260663507109,joe
get,9.95260663507109,joe
corrupt,9.715639810426541,joe
china,9.47867298578199,joe
like,9.47867298578199,joe
even,9.24170616113744,joe
left,8.767772511848342,joe
never,8.530805687203792,joe
radical,8.293838862559241,joe
one,8.056872037914692,joe
bidens,7.5829383886255926,joe
fake,7.345971563981042,joe
great,7.345971563981042,joe
job,7.109004739336493,joe
american,7.109004739336493,joe
also,6.872037914691943,joe
north,85.5,korea
kim,25.0,korea
china,22.5,korea
president,22.5,korea
great,22.5,korea
meeting,21.0,korea
south,19.5,korea
un,18.5,korea
jong,18.0,korea
good,16.0,korea
trade,15.0,korea
much,12.5,korea
nuclear,10.5,korea
deal,10.5,korea
united,10.5,korea
chairman,10.0,korea
also,10.0,korea
state,10.0,korea
time,9.5,korea
would,9.5,korea
news,9.0,korea
people,9.0,korea
japan,9.0,korea
talk,9.0,korea
many,8.0,korea
bad,18.30985915492958,loser
made,14.084507042253522,loser
total,14.084507042253522,loser
people,14.084507042253522,loser
news,14.084507042253522,loser
even,14.084507042253522,loser
fake,12.676056338028168,loser
great,12.676056338028168,loser
got,12.676056338028168,loser
get,11.267605633802818,loser
fired,11.267605633802818,loser
never,11.267605633802818,loser
nothing,9.859154929577464,loser
like,9.859154929577464,loser
dont,9.859154929577464,loser
party,8.450704225352112,loser
left,8.450704225352112,loser
know,8.450704225352112,loser
year,8.450704225352112,loser
rating,8.450704225352112,loser
cnn,8.450704225352112,loser
many,8.450704225352112,loser
yet,8.450704225352112,loser
democrat,8.450704225352112,loser
job,7.042253521126761,loser
great,25.71428571428571,maga
thank,25.71428571428571,maga
endorsement,13.186813186813188,maga
vote,12.307692307692308,maga
job,10.76923076923077,maga
total,9.89010989010989,maga
complete,9.89010989010989,maga
military,9.230769230769232,maga
agenda,9.010989010989011,maga
strong,8.571428571428571,maga
people,8.571428571428571,maga
border,8.571428571428571,maga
get,7.9120879120879115,maga
state,7.9120879120879115,maga
love,7.6923076923076925,maga
supporter,7.252747252747254,maga
vet,7.032967032967033,maga
support,6.813186813186813,maga
big,6.813186813186813,maga
america,6.593406593406594,maga
pennsylvania,6.373626373626373,maga
congressman,5.714285714285714,maga
tonight,5.714285714285714,maga
see,5.4945054945054945,maga
country,5.4945054945054945,maga
mitch,78.37837837837837,mcconnell
senatemajldr,54.054054054054056,mcconnell
great,35.13513513513514,mcconnell
senate,29.72972972972973,mcconnell
senator,24.324324324324326,mcconnell
vote,21.62162162162162,mcconnell
democrat,21.62162162162162,mcconnell
republican,18.91891891891892,mcconnell
house,18.91891891891892,mcconnell
justice,18.91891891891892,mcconnell
support,13.513513513513514,mcconnell
never,13.513513513513514,mcconnell
year,13.513513513513514,mcconnell
people,13.513513513513514,mcconnell
criminal,13.513513513513514,mcconnell
united,10.81081081081081,mcconnell
big,10.81081081081081,mcconnell
tax,10.81081081081081,mcconnell
state,10.81081081081081,mcconnell
reform,10.81081081081081,mcconnell
hearing,10.81081081081081,mcconnell
court,10.81081081081081,mcconnell
trump,10.81081081081081,mcconnell
federal,10.81081081081081,mcconnell
dems,8.108108108108109,mcconnell
angela,85.71428571428571,merkel
germany,71.42857142857143,merkel
chancellor,71.42857142857143,merkel
meeting,57.14285714285714,merkel
great,57.14285714285714,merkel
fake,28.57142857142857,merkel
today,28.57142857142857,merkel
news,28.57142857142857,merkel
president,28.57142857142857,merkel
g7summit,14.285714285714285,merkel
deal,14.285714285714285,merkel
pm,14.285714285714285,merkel
agreement,14.285714285714285,merkel
success,14.285714285714285,merkel
step,14.285714285714285,merkel
carried,14.285714285714285,merkel
problem,14.285714285714285,merkel
german,14.285714285714285,merkel
g20summit,14.285714285714285,merkel
turkey,14.285714285714285,merkel
beautifully,14.285714285714285,merkel
photo,14.285714285714285,merkel
anger,14.285714285714285,merkel
biarritz,14.285714285714285,merkel
show,14.285714285714285,merkel
border,38.57142857142858,mexico
new,21.904761904761905,mexico
country,21.428571428571427,mexico
wall,19.047619047619047,mexico
great,18.571428571428573,mexico
southern,17.142857142857142,mexico
deal,17.142857142857142,mexico
people,16.666666666666664,mexico
state,16.666666666666664,mexico
united,15.238095238095239,mexico
drug,14.285714285714285,mexico
immigration,14.285714285714285,mexico
must,14.285714285714285,mexico
many,14.285714285714285,mexico
trade,14.285714285714285,mexico
stop,13.80952380952381,mexico
law,13.333333333333334,mexico
canada,12.380952380952381,mexico
job,11.904761904761903,mexico
big,11.904761904761903,mexico
coming,10.952380952380953,mexico
year,10.0,mexico
get,10.0,mexico
president,10.0,mexico
back,10.0,mexico
great,43.656716417910445,military
vet,41.7910447761194,military
border,31.902985074626866,military
endorsement,30.783582089552237,military
strong,27.985074626865668,military
total,25.37313432835821,military
amendment,22.761194029850746,military
crime,22.574626865671643,military
complete,22.388059701492537,military
love,21.082089552238806,military
job,18.097014925373134,military
people,16.417910447761194,military
tax,15.671641791044777,military
state,14.738805970149254,military
second,14.365671641791044,military
country,13.619402985074627,military
congressman,11.940298507462686,military
vote,11.567164179104477,military
2nd,11.380597014925373,military
big,9.888059701492537,military
much,9.514925373134329,military
congress,8.768656716417912,military
many,8.768656716417912,military
get,8.395522388059701,military
2a,8.395522388059701,military
msdnc,50.0,muslim
reid,50.0,muslim
untalented,50.0,muslim
shared,50.0,muslim
anyone,50.0,muslim
httpstco8oeaqfiex8,50.0,muslim
trip,50.0,muslim
news,50.0,muslim
racism,50.0,muslim
need,50.0,muslim
httpstcoa5hsiexlql,50.0,muslim
joy,50.0,muslim
horrible,50.0,muslim
50,50.0,muslim
arab,50.0,muslim
spoke,50.0,muslim
else,50.0,muslim
terrorist,50.0,muslim
nation,50.0,muslim
cnn,50.0,muslim
word,50.0,muslim
leader,50.0,muslim
gone,50.0,muslim
enemy,50.0,muslim
fired,50.0,muslim
deal,37.03703703703704,negotiate
china,29.629629629629626,negotiate
trade,25.925925925925924,negotiate
country,25.925925925925924,negotiate
continue,22.22222222222222,negotiate
want,22.22222222222222,negotiate
great,22.22222222222222,negotiate
better,22.22222222222222,negotiate
year,18.51851851851852,negotiate
hope,18.51851851851852,negotiate
would,18.51851851851852,negotiate
tariff,18.51851851851852,negotiate
democrat,14.814814814814813,negotiate
dont,14.814814814814813,negotiate
people,14.814814814814813,negotiate
form,14.814814814814813,negotiate
yesterday,14.814814814814813,negotiate
anyway,14.814814814814813,negotiate
ever,14.814814814814813,negotiate
nothing,14.814814814814813,negotiate
president,14.814814814814813,negotiate
try,14.814814814814813,negotiate
today,14.814814814814813,negotiate
increase,11.11111111111111,negotiate
product,11.11111111111111,negotiate
north,34.84848484848485,nuclear
korea,31.818181818181817,nuclear
iran,28.78787878787879,nuclear
weapon,27.27272727272727,nuclear
deal,22.727272727272727,nuclear
kim,18.181818181818183,nuclear
world,16.666666666666664,nuclear
test,13.636363636363635,nuclear
president,13.636363636363635,nuclear
news,13.636363636363635,nuclear
meeting,12.121212121212121,nuclear
fake,12.121212121212121,nuclear
great,12.121212121212121,nuclear
people,12.121212121212121,nuclear
much,12.121212121212121,nuclear
jong,10.606060606060606,nuclear
look,10.606060606060606,nuclear
never,10.606060606060606,nuclear
rocket,10.606060606060606,nuclear
time,10.606060606060606,nuclear
testing,10.606060606060606,nuclear
sanction,10.606060606060606,nuclear
country,10.606060606060606,nuclear
un,10.606060606060606,nuclear
back,10.606060606060606,nuclear
keystone,37.5,pipeline
xl,37.5,pipeline
approval,37.5,pipeline
energy,37.5,pipeline
great,25.0,pipeline
paying,25.0,pipeline
also,25.0,pipeline
forward,25.0,pipeline
billion,25.0,pipeline
country,25.0,pipeline
acceptable,25.0,pipeline
nato,25.0,pipeline
russia,25.0,pipeline
texas,25.0,pipeline
